time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown_topic,breakdown,school_count,pupil_count,attainment8_sum,attainment8_average,engmath_entering_total,engmath_entering_percent,engmath_95_total,engmath_95_percent,engmath_94_total,engmath_94_percent,ebacc_entering_total,ebacc_entering_percent,ebacc_95_total,ebacc_95_percent,ebacc_94_total,ebacc_94_percent,ebacc_aps_sum,ebacc_aps_average,progress8_pupil_count,progress8_sum,progress8_average,progress8_lower_95_ci,progress8_upper_95_ci
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,Chinese,1630,4249,280183.26,65.9,4172,98.2,3302,77.7,3755,88.4,2858,67.3,2093,49.3,2425,57.1,26736.86,6.29,2389,2480.235,1.04,0.98,1.09
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,English / Welsh / Scottish / Northern Irish / British,4036,397039,17566504.27,44.2,380394,95.8,170814,43,249875,62.9,139812,35.2,60252,15.2,86546,21.8,1536741.9,3.87,388189,-78021.444,-0.2,-0.21,-0.2
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,Gypsy,692,1529,30527.25,20,1319,86.3,129,8.4,250,16.4,221,14.5,32,2.1,63,4.1,2512.92,1.64,1256,-1056.925,-0.84,-0.92,-0.76
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,Indian,2441,21369,1263286.94,59.1,21035,98.4,15083,70.6,17908,83.8,12512,58.6,7589,35.5,9462,44.3,116042.29,5.43,18031,14892.866,0.83,0.81,0.85
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,Irish,1005,1641,82852.5,50.5,1573,95.9,924,56.3,1193,72.7,737,44.9,411,25,538,32.8,7411.35,4.52,1546,88.148,0.06,-0.01,0.13
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,Irish Traveller,175,190,5884.75,31,164,86.3,41,21.6,67,35.3,37,19.5,13,6.8,20,10.5,496.51,2.61,177,-168.057,-0.95,-1.16,-0.74
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,Pakistani,2040,29215,1368975.78,46.9,28415,97.3,13822,47.3,19380,66.3,14123,48.3,5264,18,7625,26.1,122083.07,4.18,26738,6057.824,0.23,0.21,0.24
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,Unknown,2504,12736,531186,41.7,11847,93,5149,40.4,7383,58,4654,36.5,2030,15.9,2819,22.1,47263.48,3.71,10792,-2500.837,-0.23,-0.26,-0.21
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,White and Asian,2818,9222,483295.53,52.4,8953,97.1,5336,57.9,6864,74.4,4502,48.8,2527,27.4,3260,35.4,43715.3,4.74,8521,2057.832,0.24,0.21,0.27
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,White and Black African,2373,5715,265596.26,46.5,5462,95.6,2624,45.9,3742,65.5,2528,44.2,1060,18.5,1556,27.2,23646.52,4.14,5272,223.974,0.04,0,0.08
202324,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,White and Black Caribbean,2650,9714,376489.13,38.8,9153,94.2,3116,32.1,5087,52.4,3114,32.1,1006,10.4,1578,16.2,32491.88,3.34,9414,-4394.276,-0.47,-0.5,-0.44
202324,Academic year,National,E92000001,England,Final,All state-funded,FSM status,FSM eligible,4048,152061,5259416.52,34.6,139578,91.8,39200,25.8,65900,43.3,43505,28.6,12056,7.9,19540,12.9,454844.65,2.99,141529,-80359.553,-0.57,-0.58,-0.56
202324,Academic year,National,E92000001,England,Final,All state-funded,FSM status,Not known to be FSM eligible,4075,477146,23637323.16,49.5,464935,97.4,249624,52.3,343048,71.9,210840,44.2,101020,21.2,139289,29.2,2108273.49,4.42,444896,63220.932,0.14,0.14,0.15
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN provision,All SEN provision,4081,108590,3017689.28,27.8,90377,83.2,19010,17.5,33427,30.8,17169,15.8,4504,4.1,7186,6.6,252911.95,2.33,102792,-64734.92,-0.63,-0.64,-0.62
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN provision,"Education, health and care plan",3848,30507,433107.75,14.2,15815,51.8,2139,7,3974,13,1456,4.8,412,1.4,633,2.1,34910.54,1.14,27417,-31009.61,-1.13,-1.15,-1.11
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN provision,SEN support / SEN without an EHC plan,3292,78083,2584581.53,33.1,74562,95.5,16871,21.6,29453,37.7,15713,20.1,4092,5.2,6553,8.4,218001.41,2.79,75375,-33725.31,-0.45,-0.46,-0.44
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN provision,No SEN provision,3278,519344,25861039.65,49.8,513229,98.8,269700,51.9,375261,72.3,237172,45.7,108571,20.9,151641,29.2,2308753.41,4.45,482731,49913.437,0.1,0.1,0.11
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,Autistic spectrum disorder,3491,18501,544896.26,29.5,13727,74.2,4402,23.8,6838,37,3108,16.8,1205,6.5,1743,9.4,46643.62,2.52,17288,-11535.652,-0.67,-0.69,-0.65
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,Hearing impairment,1338,2021,80171.25,39.7,1879,93,685,33.9,1059,52.4,585,28.9,247,12.2,363,18,6940.26,3.43,1942,-36.62,-0.02,-0.08,0.04
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,Moderate learning difficulty,2956,16277,350360,21.5,13578,83.4,1021,6.3,2575,15.8,1955,12,158,1,352,2.2,28351.06,1.74,15360,-7577.296,-0.49,-0.52,-0.47
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,Multi-sensory impairment,216,291,10413.88,35.8,254,87.3,90,30.9,142,48.8,57,19.6,21,7.2,29,10,890.8,3.06,280,-98.322,-0.35,-0.52,-0.19
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,No primary need,3290,520589,25878569.15,49.7,514120,98.8,269810,51.8,375516,72.1,237173,45.6,108570,20.9,151640,29.1,2310162.86,4.44,483606,47660.907,0.1,0.09,0.1
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,Other difficulty or disability,1601,4575,142804.26,31.2,4125,90.2,910,19.9,1622,35.5,856,18.7,252,5.5,385,8.4,12021.79,2.63,4311,-2182.295,-0.51,-0.55,-0.46
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,Physical disability,1772,3028,101341.5,33.5,2548,84.1,792,26.2,1262,41.7,661,21.8,234,7.7,354,11.7,8683.18,2.87,2867,-1260.214,-0.44,-0.49,-0.39
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,Profound and multiple learning difficulty,299,632,1342,2.1,50,7.9,8,1.3,11,1.7,4,0.6,1,0.2,1,0.2,108.02,0.17,584,-866.299,-1.48,-1.6,-1.37
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,SEN support but no specialist assessment of type of need,778,2094,65859.25,31.5,2023,96.6,360,17.2,689,32.9,398,19,68,3.2,119,5.7,5506.97,2.63,1999,-742.959,-0.37,-0.43,-0.31
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,Severe learning difficulty,679,2482,5632.75,2.3,234,9.4,15,0.6,38,1.5,18,0.7,4,0.2,4,0.2,438.11,0.18,2198,-3223.933,-1.47,-1.53,-1.41
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,"Social, emotional and mental health",3552,27307,712567,26.1,23170,84.9,4504,16.5,7970,29.2,3899,14.3,1037,3.8,1661,6.1,59650.77,2.18,25988,-31136.521,-1.2,-1.22,-1.18
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,Specific learning difficulty,3090,18855,646039.88,34.3,18021,95.6,4078,21.6,7452,39.5,3272,17.4,739,3.9,1282,6.8,53546.41,2.84,18125,-2041.606,-0.11,-0.13,-0.09
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,"Speech, language and communications needs",2953,11283,307228.25,27.2,9622,85.3,1723,15.3,3109,27.6,1981,17.6,403,3.6,683,6.1,25871.51,2.29,10675,-3855.683,-0.36,-0.39,-0.33
202324,Academic year,National,E92000001,England,Final,All state-funded,SEN primary need,Visual impairment,951,1272,49514.25,38.9,1162,91.4,426,33.5,665,52.3,378,29.7,137,10.8,213,16.7,4302.78,3.38,1202,-242.128,-0.2,-0.28,-0.12
202324,Academic year,National,E92000001,England,Final,All state-funded,Disadvantage status,Disadvantaged,4063,166573,5755703.02,34.6,152503,91.6,43008,25.8,72252,43.4,47653,28.6,13265,8,21475,12.9,497801.01,2.99,154976,-87887.68,-0.57,-0.57,-0.56
202324,Academic year,National,E92000001,England,Final,All state-funded,Disadvantage status,Not known to be disadvantaged,4063,462634,23141036.66,50,452010,97.7,245816,53.1,336696,72.8,206692,44.7,99811,21.6,137354,29.7,2065317.13,4.46,431449,70749.059,0.16,0.16,0.17
202324,Academic year,National,E92000001,England,Final,All state-funded,First language,Known or believed to be English,4070,506261,22977417.39,45.4,486004,96,228297,45.1,326736,64.5,191268,37.8,85040,16.8,120094,23.7,2021438.12,3.99,488559,-62751.177,-0.13,-0.13,-0.12
202324,Academic year,National,E92000001,England,Final,All state-funded,First language,Known or believed to be other than English,3678,118426,5760408.54,48.6,114514,96.7,59078,49.9,79983,67.5,61788,52.2,27511,23.2,37983,32.1,527716.69,4.46,94292,48219.059,0.51,0.5,0.52
202223,Academic year,National,E92000001,England,Final,All state-funded,Total,Total,4047,606915,28087878.83,46.3,583529,96.1,274821,45.3,395095,65.1,238323,39.3,103072,17,146813,24.2,2460736.86,4.05,568530,-15004.135,-0.03,-0.03,-0.02
202223,Academic year,National,E92000001,England,Final,All state-funded,Sex,Boys,3833,310611,13679602.63,44,296234,95.4,134147,43.2,194740,62.7,108432,34.9,42792,13.8,62558,20.1,1202400.06,3.87,290165,-48548.134,-0.17,-0.17,-0.16
202223,Academic year,National,E92000001,England,Final,All state-funded,Sex,Girls,3794,296304,14408276.2,48.6,287295,97,140674,47.5,200355,67.6,129891,43.8,60280,20.3,84255,28.4,1258336.8,4.25,278365,33543.999,0.12,0.12,0.13
202223,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,African,2582,26334,1282017.75,48.7,25570,97.1,13207,50.2,18286,69.4,12986,49.3,4860,18.5,7224,27.4,113811.27,4.32,22340,8276.954,0.37,0.35,0.39
202223,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,All Asian / Asian British,3228,73359,3897219.26,53.1,71567,97.6,42855,58.4,54857,74.8,38772,52.9,19008,25.9,25231,34.4,350426.46,4.78,64446,34383.964,0.53,0.52,0.54
202223,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,All Black / African / Caribbean / Black British,2878,37983,1768576.63,46.6,36780,96.8,17251,45.4,24703,65,17777,46.8,6240,16.4,9438,24.8,155974.32,4.11,32970,7119.867,0.22,0.2,0.23
202223,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,All mixed / multiple ethnic groups,3591,36723,1716156.52,46.7,35266,96,16714,45.5,23833,64.9,15447,42.1,6779,18.5,9502,25.9,151306.27,4.12,33926,-1454.889,-0.04,-0.06,-0.03
