"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type_group","qualification_type","subject","test_year","number_entries","percentage"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Dance","Final year",6888,"96.5"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Dance","Final year",5930,"99.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Dance","Penultimate year",200,"2.8"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Dance","Penultimate year",35,"0.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Design & Technology","Total",77544,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Design & Technology","Final year",76731,"99"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Design & Technology","Penultimate year",725,"0.9"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Drama","Total",48463,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Drama","Final year",48135,"99.3"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Drama","Penultimate year",276,"0.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Economics","Total",37,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Economics","Total",7207,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Economics","Final year",37,"100"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Economics","Final year",7071,"98.1"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","Economics","Penultimate year",0,"0"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Economics","Penultimate year",130,"1.8"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Engineering","Total",2278,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Engineering","Total",28968,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Engineering","Final year",2277,"100"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Engineering","Final year",28492,"98.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Engineering","Penultimate year",0,"0"
202425,"Academic year","National","E92000001","England","Revised","All schools","Vocational","Engineering","Penultimate year",476,"1.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","English Language","Total",5,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","English Language","Total",635454,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","English Language","Final year",0,"0"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","English Language","Final year",632978,"99.6"
202425,"Academic year","National","E92000001","England","Revised","All schools","AS level","English Language","Penultimate year",5,"100"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","English Language","Penultimate year",2424,"0.4"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","English Literature","Total",611543,"z"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","English Literature","Final year",602145,"98.5"
202425,"Academic year","National","E92000001","England","Revised","All schools","GCSE","English Literature","Penultimate year",9367,"1.5"
