"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type_group","qualification_type","qualification_detailed","grade_structure","subject","discount_code","subject_discount_group","grade","number_achieving"
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biblical Hebrew","F1Z","Other Classical Languages","4",39
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biblical Hebrew","F1Z","Other Classical Languages","5",65
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biblical Hebrew","F1Z","Other Classical Languages","6",93
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biblical Hebrew","F1Z","Other Classical Languages","7",88
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biblical Hebrew","F1Z","Other Classical Languages","8",113
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biblical Hebrew","F1Z","Other Classical Languages","9",121
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biblical Hebrew","F1Z","Other Classical Languages","Total exam entries",609
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biblical Hebrew","F1Z","Other Classical Languages","U",10
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biblical Hebrew","F1Z","Other Classical Languages","X",8
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biology","RH3","Biology","1",2526
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biology","RH3","Biology","2",3905
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biology","RH3","Biology","3",8624
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biology","RH3","Biology","4",15181
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biology","RH3","Biology","5",26575
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biology","RH3","Biology","6",34167
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biology","RH3","Biology","7",27311
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biology","RH3","Biology","8",24161
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biology","RH3","Biology","9",22715
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biology","RH3","Biology","Total exam entries",167015
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biology","RH3","Biology","U",931
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Biology","RH3","Biology","X",919
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Business","AA3","Business Studies","1",6421
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Business","AA3","Business Studies","2",12849
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Business","AA3","Business Studies","3",22248
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Business","AA3","Business Studies","4",18291
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Business","AA3","Business Studies","5",20940
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Business","AA3","Business Studies","6",20071
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Business","AA3","Business Studies","7",11494
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Business","AA3","Business Studies","8",8572
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Business","AA3","Business Studies","9",5274
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Business","AA3","Business Studies","Total exam entries",128507
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Business","AA3","Business Studies","U",1734
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Business","AA3","Business Studies","X",613
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Chemistry","RD1","Chemistry (General)","1",1355
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Chemistry","RD1","Chemistry (General)","2",3146
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Chemistry","RD1","Chemistry (General)","3",7763
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Chemistry","RD1","Chemistry (General)","4",15945
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Chemistry","RD1","Chemistry (General)","5",24849
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Chemistry","RD1","Chemistry (General)","6",31540
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Chemistry","RD1","Chemistry (General)","7",24570
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Chemistry","RD1","Chemistry (General)","8",25797
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Chemistry","RD1","Chemistry (General)","9",24304
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Chemistry","RD1","Chemistry (General)","Total exam entries",160515
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Chemistry","RD1","Chemistry (General)","U",722
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Chemistry","RD1","Chemistry (General)","X",524
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Civilisation","DB2B","Classical Civilisation","1",145
"202425","Academic year","National","E92000001","England","Revised","All schools","GCSE","GCSE (9-1) Full Course","9 / 8 / 7 / 6 / 5 / 4 / 3 / 2 / 1 / U / X","Classical Civilisation","DB2B","Classical Civilisation","2",220
