"time_period","time_identifier","geographic_level","country_code","country_name","trust_id","trust_name","trust_uid","trust_companies_house_number","trust_ukprn","trust_leadregion","version","establishment_type_group","academy_eligibility","pupil_count","disadvantaged_pupil_percent","not_disadvantaged_pupil_percent","ks2_scaledscore_average","eal_pupil_percent","sen_pupil_percent","urns","school_count","converter_school_count","sponsored_school_count","free_school_count","studio_school_count","utc_school_count","disadvantaged_school_count","years3_school_count","years4_school_count","years5plus_school_count","progress8_banding"
"202425","Academic year","MAT","E92000001","England","TR01513","Girls Learning Trust","15882","7627961","10058720","London","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","685","14","86","z","36","7","136789;136795;136797","3","3","0","0","0","0","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01527","Northern Education Trust","4036","7189647","10058295","North East","Revised","Multi-academy trust","Included in MAT performance tables","2196","42","58","z","8","16","135878;136135;136146;139405;139673;140002;140979;141185;141686;147541;148135;149235","12","1","11","0","0","0","12","1","0","11","z"
"202425","Academic year","MAT","E92000001","England","TR01527","Northern Education Trust","4036","7189647","10058295","North East","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","2782","43","57","z","14","16","135770;135878;136135;136146;139405;139673;140002;140979;141185;141686;147541;148135;148186;149235;150268;150868","16","3","13","0","0","0","16","1","0","11","z"
"202425","Academic year","MAT","E92000001","England","TR01530","Northern Schools Trust","4041","5067702","10058179","North West","Revised","Multi-academy trust","Included in MAT performance tables","417","55","45","z","31","22","131065;139588;139589","3","0","1","0","1","1","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01530","Northern Schools Trust","4041","5067702","10058179","North West","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","417","55","45","z","31","22","131065;139588;139589","3","0","1","0","1","1","3","0","0","3","z"
"202425","Academic year","MAT","E92000001","England","TR01553","Oasis Community Learning","4076","5398529","10058190","London","Revised","Multi-academy trust","Included in MAT performance tables","3206","47","53","z","35","20","134311;135176;135209;135628;135629;135654;135661;135663;135671;135958;135968;136027;139659;139995;140209;140394;141082;141652;145723;146284","20","0","17","3","0","0","20","0","0","20","z"
"202425","Academic year","MAT","E92000001","England","TR01553","Oasis Community Learning","4076","5398529","10058190","London","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","3206","47","53","z","35","20","134311;135176;135209;135628;135629;135654;135661;135663;135671;135958;135968;136027;139659;139995;140209;140394;141082;141652;145723;146284","20","0","17","3","0","0","20","0","0","20","z"
"202425","Academic year","MAT","E92000001","England","TR01568","The Olympus Academy Trust","4095","7844791","10059430","South West","Revised","Multi-academy trust","Included in MAT performance tables","833","17","83","z","15","18","137753;139067;145124;145502","4","2","2","0","0","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01568","The Olympus Academy Trust","4095","7844791","10059430","South West","Revised","Multi-academy trust","All mainstream KS4 academies in MAT","833","17","83","z","15","18","137753;139067;145124;145502","4","2","2","0","0","0","4","0","0","4","z"
"202425","Academic year","MAT","E92000001","England","TR01577","Ormiston Academies Trust","4106","6982127","10058272","West Midlands","Revised","Multi-academy trust","Included in MAT performance tables","5526","37","63","z","14","20","135234;135769;135960;135979;135980;136145;136185;136186;136187;136680;137109;137152;137196;137673;137674;138506;139403;139918;140032;140199;140364;140845;140864;141169;141269;142186;145008;145134;145501;146063;147683;147796","32","5","26","1","0","0","32","0","0","32","z"
