Web Link (opens in new window),URN,LAESTAB,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Multi-academy trust UID,Multi-academy trust name,Academy sponsor UID,Academy Sponsor Name,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Statutory lowest age,Statutory highest age,Inspection number,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Publication date,Category of concern,Safeguarding standards,Inclusion,Curriculum and teaching,Achievement,Attendance and behaviour,Personal development and wellbeing,Early years (where applicable),Post-16 provision (where applicable),Leadership and governance
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/151417,151417,8962718,Meadow Primary School,Primary,Academy Converter,01/01/2025,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,North West,North West,Cheshire West and Chester,Ellesmere Port and Bromborough,CH66 4SZ,17769,THE PEOPLE'S LEARNING TRUST,NULL,NULL,1,425,4,11,10426116,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,11/01/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Strong standard,Strong standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/141868,141868,8452017,St Leonards Church of England Primary Academy,Primary,Academy Sponsor Led,01/04/2015,Not applicable,Does not have a sixth form,Church of England,None,Christian,South East,South East,East Sussex,Hastings and Rye,TN38 0NX,5488,Diocese of Chichester Academy Trust,5492,Diocese of Chichester Academy Trust,5,412,5,11,10426066,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,11/01/2026,,Met,Expected standard,Expected standard,Expected standard,Needs attention,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/140679,140679,8454004,Seahaven Academy,Secondary,Academy Sponsor Led,01/04/2014,Unknown,Does not have a sixth form,Does not apply,None,Non-faith,South East,South East,East Sussex,Lewes,BN9 9TD,5143,UNITED LEARNING TRUST,5142,United Learning Trust,4,745,11,16,10426061,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,11/01/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/144528,144528,8222294,Cauldwell School,Primary,Academy Converter,01/06/2017,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,East of England,East of England,Bedford,Bedford,MK42 9DR,16683,Heart Academies Trust,3318,Harpur Trust,4,419,4,11,10426083,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,03/02/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Strong standard,Needs attention,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/151190,151190,9365415,All Hallows Catholic School,Secondary,Academy Converter,01/10/2024,Non-selective,Has a sixth form,Roman Catholic,Does not apply,Christian,South East,South East,Surrey,Farnham and Bordon,GU9 9HF,4717,MOTHER TERESA CATHOLIC ACADEMY TRUST,17352,Mother Teresa Catholic Academy Trust,1,1514,11,18,10426115,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,11/01/2026,,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Strong standard,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/143785,143785,9192110,Fairlands Primary School,Primary,Academy Converter,01/04/2017,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,East of England,East of England,Hertfordshire,Stevenage,SG1 3JA,16639,The Claxton Trust,NULL,NULL,4,674,3,11,10426076,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,11/01/2026,,Met,Strong standard,Strong standard,Expected standard,Strong standard,Strong standard,Expected standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/105576,105576,3524761,Our Lady's RC High School,Secondary,Voluntary Aided School,NULL,Non-selective,Does not have a sixth form,Roman Catholic,Does not apply,Christian,North West,North West,Manchester,Blackley and Middleton South,M9 0RP,NULL,NULL,NULL,NULL,5,1050,11,16,10426024,S5 Inspection,S5 Inspection,Schools - S5,11/11/2025,11/01/2026,,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/149483,149483,3302210,Highters Heath Community School,Primary,Academy Sponsor Led,01/11/2022,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,Birmingham Selly Oak,B14 4LY,16643,Excelsior Multi Academy Trust,16524,Excelsior Multi Academy Trust,5,169,4,11,10426104,Academy First Section 5,Academy First Section 5,Schools - S5,11/11/2025,11/01/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Strong standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/109481,109481,8232124,Southill Lower School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,East of England,East of England,Central Bedfordshire,North Bedfordshire,SG18 9JA,NULL,NULL,NULL,NULL,2,75,3,9,10426026,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,22/01/2026,,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Expected standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/148219,148219,8612075,Co-op Academy Clarice Cliff,Primary,Academy Converter,01/12/2020,Non-selective,Does not have a sixth form,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent Central,ST4 3DP,2777,THE CO-OPERATIVE ACADEMIES TRUST,4949,The Co-operative Academies Trust,5,400,3,11,10426705,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,18/11/2025,21/01/2026,,Met,Strong standard,Strong standard,Expected standard,Strong standard,Strong standard,Expected standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/149193,149193,8662011,Bridlewood Primary School,Primary,Academy Converter,01/12/2022,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,South West,South West,Swindon,Swindon North,SN25 2EX,16861,THE PARK ACADEMIES TRUST,17116,Lydiard Park Academy,1,226,3,11,10426098,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,21/01/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/149322,149322,9317008,Bishopswood School,Special,Academy Special Sponsor Led,01/01/2023,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,South East,South East,Oxfordshire,Henley and Thame,RG4 9RH,4257,The Propeller Academy Trust,5009,The Propeller Academy Trust,2,74,2,16,10426101,Academy First Section 5,Academy First Section 5,Schools - S5,18/11/2025,25/01/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Strong standard,Not applicable,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/142903,142903,3164009,London Design and Engineering UTC,Secondary,University Technical College,05/09/2016,Unknown,Has a sixth form,Does not apply,Does not apply,Non-faith,London,London,Newham,West Ham and Beckton,E16 2RD,NULL,NULL,NULL,NULL,4,792,14,19,10426074,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,22/01/2026,,Met,Exceptional,Exceptional,Strong standard,Exceptional,Exceptional,Not applicable,Strong standard,Exceptional
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/140442,140442,8083317,St Bede's Catholic Academy,Primary,Academy Converter,01/12/2013,Not applicable,Does not have a sixth form,Roman Catholic,Does not apply,Christian,"North East, Yorkshire and the Humber",North East,Stockton-on-Tees,Stockton North,TS19 0DW,2548,BISHOP HOGARTH CATHOLIC EDUCATION TRUST,2547,Bishop Hogarth Catholic Education Trust,5,228,3,11,10426696,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,29/01/2026,,Met,Strong standard,Strong standard,Strong standard,Exceptional,Strong standard,Expected standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/144837,144837,8552330,Old Mill Primary School,Primary,Academy Converter,01/09/2017,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,East Midlands,East Midlands,Leicestershire,South Leicestershire,LE9 6PT,16329,Symphony Learning Trust,16356,Symphony Learning Trust,1,367,4,11,10426087,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,26/01/2026,,Met,Expected standard,Needs attention,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/105413,105413,3522076,Crowcroft Park Primary School,Primary,Community School,NULL,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,North West,North West,Manchester,Gorton and Denton,M12 5SY,NULL,NULL,NULL,NULL,5,251,3,11,10426022,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,18/01/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/123747,123747,9333029,Bishop Henderson Church of England Primary School,Primary,Voluntary Controlled School,NULL,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,South West,South West,Somerset,Frome and East Somerset,BA3 5PN,NULL,NULL,NULL,NULL,3,131,2,11,10426683,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,18/11/2025,21/01/2026,,Met,Needs attention,Needs attention,Needs attention,Needs attention,Expected standard,Expected standard,Not applicable,Needs attention
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/141938,141938,3312016,Sidney Stringer Primary Academy,Primary,Free School,01/09/2015,Unknown,Does not have a sixth form,None,None,Non-faith,West Midlands,West Midlands,Coventry,Coventry South,CV1 5GU,4521,Sidney Stringer Multi Academy Trust,4520,Sidney Stringer Academy Trust,5,421,4,11,10426068,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,15/01/2026,,Met,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Strong standard,Not applicable,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/149228,149228,3367012,Penn Hall School,Special,Academy Special Converter,01/11/2022,Not applicable,Has a sixth form,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Wolverhampton,Wolverhampton West,WV4 5HP,2095,Amethyst Academies Trust,16590,Amethyst Academies Trust,5,138,3,19,10426099,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,01/02/2026,,Met,Strong standard,Expected standard,Expected standard,Strong standard,Strong standard,Not applicable,Expected standard,Strong standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/141986,141986,3944001,Sandhill View Academy,Secondary,Academy Sponsor Led,01/07/2015,Not applicable,Does not have a sixth form,Does not apply,None,Non-faith,"North East, Yorkshire and the Humber",North East,Sunderland,Houghton and Sunderland South,SR3 4EN,5712,ASPIRE NORTH EAST MULTI ACADEMY TRUST,4599,Aspire North East Multi Academy Trust,5,760,11,16,10426070,S5 Inspection,S5 Inspection,Schools - S5,18/11/2025,21/01/2026,,Met,Strong standard,Expected standard,Expected standard,Needs attention,Strong standard,Not applicable,Not applicable,Expected standard
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/150629,150629,8232014,Laburnum Primary School,Primary,Academy Sponsor Led,01/03/2024,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,East of England,East of England,Central Bedfordshire,North Bedfordshire,SG19 1HQ,16606,Advantage Schools,17694,Advantage Schools Trust,3,194,3,11,10426113,Academy First Section 5,Academy First Section 5,Schools - S5,18/11/2025,18/01/2026,,Met,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Expected standard
