URN,LAESTAB,School name,Type of education,School type,School open date,Sixth Form,Religious character,Religious ethos,Faith grouping,Inspectorate,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Total number of pupils,Inspection number of latest REIF standard inspection,Inspection type,Inspection type grouping,Inspection start date,Publication date,Safeguarding standards,Inclusion,Curriculum and teaching,Achievement,Attendance and behaviour,Personal development and wellbeing,Early years (where applicable),Post-16 provision (where applicable),Leadership and governance,Inspection number of latest OEIF standard inspection,Inspection type of latest OEIF standard inspection,Inspection type grouping of latest OEIF standard inspection,Inspection start date of latest OEIF standard inspection,Publication date of latest OEIF standard inspection,Latest OEIF overall effectiveness,Latest OEIF quality of education,Latest OEIF behaviour and attitudes,Latest OEIF personal development,Latest OEIF effectiveness of leadership and management,Latest OEIF safeguarding is effective?,Latest OEIF early years provision (where applicable),Latest OEIF sixth form provision (where applicable),Most recent standard inspection: School complies with registration agreement (GIAS)?,Most recent standard inspection: Overall compliance with ISS,Most recent standard inspection: Part 1 overall,Most recent standard inspection: Part 2 overall,Most recent standard inspection: Part 3 overall,Most recent standard inspection: Part 4 overall,Most recent standard inspection: Part 5 overall,Most recent standard inspection: Part 6 overall,Most recent standard inspection: Part 7 overall,Most recent standard inspection: Part 8 overall,Most recent progress monitoring: inspection number,Most recent progress monitoring: inspection type,Most recent progress monitoring: start date,Most recent progress monitoring: academic year,Most recent progress monitoring: publication date,Most recent progress monitoring: overall outcome,
151120,8886137,New Focus Education,Other Independent Special School,Independent special school,12/02/2025,Does not have a sixth form,None,None,Non-faith,Ofsted,North West,North West,Lancashire,Preston,PR2 1AF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
151121,8566039,Spark Vale Academy,Other Independent Special School,Independent special school,04/10/2024,Not applicable,None,None,Non-faith,Ofsted,East Midlands,East Midlands,Leicester,Leicester East,LE4 5EE,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10395736,Independent school standard inspection - first,Independent Standard Inspection,03/06/2025,02/09/2025,4,0,0,0,4,No,NULL,0,Y,Did not meet all standards,Not met,Met,Not met,Met,Not met,Met,Met,Not met,10433833,Independent school Progress Monitoring inspection,11/02/2026,2025/26,19/04/2026,Met all standards that were checked,
151122,8556062,Hinckley House,Other Independent Special School,Independent special school,26/11/2024,Not applicable,Unknown,None,Non-faith,Ofsted,East Midlands,East Midlands,Leicestershire,Hinckley and Bosworth,CV13 0LS,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10395742,Independent school standard inspection - first,Independent Standard Inspection,16/09/2025,16/10/2025,2,2,2,2,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
151139,3836021,Cockburn Reach Academy,Other Independent Special School,Independent special school,14/11/2024,Not applicable,None,None,Non-faith,Ofsted,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Leeds,Leeds South,LS11 6NN,0,10427420,Independent school standard inspection - first,Independent standard inspection,03/02/2026,26/03/2026,Met,Strong standard,Expected standard,Expected standard,Strong standard,Strong standard,Not applicable,Not applicable,Strong standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
151140,8606099,Little Kinvaston School,Other Independent Special School,Independent special school,08/10/2024,Not applicable,None,None,Non-faith,Ofsted,West Midlands,West Midlands,Staffordshire,"Stone, Great Wyrley and Penkridge",ST19 5PR,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10406245,Independent school standard inspection - first,Independent Standard Inspection,16/09/2025,12/10/2025,2,2,2,1,2,Yes,NULL,NULL,N,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
151141,8306065,The Bayleaf Hub,Other Independent Special School,Independent special school,04/10/2024,Not applicable,Unknown,None,Non-faith,Ofsted,East Midlands,East Midlands,Derbyshire,South Derbyshire,DE65 6GZ,3,10427421,Independent school standard inspection - first,Independent standard inspection,03/02/2026,19/04/2026,Met,Expected standard,Needs attention,Needs attention,Expected standard,Expected standard,Not applicable,Not applicable,Needs attention,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,Did not meet all standards,Not met,Met,Met,Met,Met,Met,Met,Not met,NULL,NULL,NULL,NULL,NULL,NULL,
151197,8936048,Esland Shropshire School,Other Independent Special School,Independent special school,24/12/2024,Not applicable,Unknown,None,Non-faith,Ofsted,West Midlands,West Midlands,Shropshire,South Shropshire,WV16 6SU,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
151200,8106009,Felix House School,Other Independent Special School,Independent special school,19/11/2024,Has a sixth form,None,None,Non-faith,Ofsted,"North East, Yorkshire and the Humber",Yorkshire and the Humber,Kingston upon Hull,Kingston upon Hull North and Cottingham,HU7 4BS,5,10427423,Independent school standard inspection - first,Independent standard inspection,24/02/2026,22/04/2026,Met,Expected standard,Expected standard,Expected standard,Expected standard,Expected standard,Not applicable,Not applicable,Expected standard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
151203,3306144,Maple House School,Other Independent Special School,Independent special school,16/01/2025,Not applicable,None,None,Non-faith,Ofsted,West Midlands,West Midlands,Birmingham,Birmingham Selly Oak,B30 2AE,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10404500,Independent school standard inspection - first,Independent Standard Inspection,01/07/2025,14/09/2025,2,2,2,2,2,Yes,NULL,NULL,Y,All standards Met,Met,Met,Met,Met,Met,Met,Met,Met,NULL,NULL,NULL,NULL,NULL,NULL,
151204,2096008,The Anchor SENDfriendly Centre,Other Independent Special School,Independent special school,20/11/2024,Not applicable,Unknown,None,Non-faith,Ofsted,London,London,Lewisham,Lewisham East,SE13 6TJ,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
