LSOA code,Price Mar 2023
E01012607,"176,500"
E01012608,"111,000"
E01012609,"217,498"
E01012610,"210,000"
E01012611,"226,000"
E01012612,"216,500"
E01012613,"223,995"
E01012614,"211,000"
E01012615,"150,000"
E01012616,"180,000"
E01012617,"125,000"
E01012618,"157,500"
E01012619,"95,750"
E01012620,"152,000"
E01012621,"120,000"
E01012622,"76,750"
E01012623,"110,000"
E01012624,"80,000"
E01012625,"79,000"
E01012628,"235,000"
E01012629,"80,000"
E01012630,"114,000"
E01012631,:
E01012632,"140,500"
E01012633,"177,000"
E01012634,"164,500"
E01012635,"135,000"
E01012636,"189,575"
E01012637,:
E01012638,"125,000"
E01012639,"93,250"
E01012640,"97,756"
E01012641,"95,500"
E01012642,"135,000"
E01012643,:
E01012644,:
E01012645,"120,000"
E01012646,"92,250"
E01012647,"135,000"
E01012648,"97,500"
E01012649,"100,000"
E01012650,"87,500"
E01012651,"135,000"
E01012652,"193,500"
E01012653,"110,000"
E01012654,"101,000"
E01012655,:
E01012656,"75,000"
E01012657,"89,000"
E01012658,"96,500"
E01012659,"127,000"
E01012660,"235,000"
E01012661,"110,000"
E01032485,"325,000"
E01032486,"370,000"
E01012662,"145,000"
E01012663,"154,000"
E01012664,"152,500"
E01012665,"150,000"
E01012666,"152,250"
E01012667,"182,000"
E01012668,"155,000"
E01012669,"116,350"
E01012670,"85,000"
E01012671,"86,500"
E01012672,"82,500"
E01012673,"75,000"
E01012674,"101,000"
E01012675,"97,500"
E01012676,"130,000"
E01012677,"160,000"
E01012678,:
E01012679,"90,000"
E01012680,"92,500"
E01012681,"82,000"
E01012682,"77,000"
E01012683,"110,000"
E01012684,"83,000"
E01012685,"114,000"
E01012686,"102,000"
E01012687,"112,000"
E01012688,"122,500"
E01012689,"146,000"
E01012690,"138,500"
E01012691,"125,350"
E01012692,"138,975"
E01012693,"125,000"
E01012694,"107,500"
E01012695,"120,000"
E01012696,"118,750"
E01012697,"130,000"
E01012698,"102,000"
E01012699,"168,750"
E01012700,"160,000"
E01012701,"130,000"
E01012702,"135,000"
E01012703,"158,250"
E01012704,"149,000"
E01012705,"121,500"
E01012706,"145,000"
E01012707,"95,000"
E01012708,"135,000"
E01012709,"92,000"
E01012710,"167,225"
E01012711,"122,500"
E01012712,"155,000"
E01012713,"125,000"
E01012714,"179,000"
E01012715,"128,000"
E01012716,"151,250"
E01012717,"211,475"
E01012718,"194,000"
E01012719,"154,998"
E01012720,"120,000"
E01012721,:
E01012722,"178,500"
E01012723,"145,000"
E01012724,"80,000"
E01012725,"174,750"
E01012726,"141,500"
E01012727,"210,000"
E01012728,"110,000"
E01012729,"160,000"
E01012730,"223,155"
E01012731,"120,000"
E01012732,"212,500"
E01012733,"113,500"
E01012734,"135,000"
E01012735,"135,000"
E01012736,"110,000"
E01012737,"90,000"
E01012738,"102,500"
E01012739,"110,000"
E01012740,"126,000"
E01012741,"132,500"
E01012742,"122,500"
E01012743,"108,000"
E01012744,"111,225"
E01012745,"117,000"
E01012746,"120,000"
E01012747,"222,725"
E01012748,"127,500"
E01012749,"163,375"
E01012750,"140,000"
E01012751,"112,500"
E01012752,"128,000"
E01012753,"178,500"
E01012754,"155,000"
E01012755,"184,000"
E01012756,"121,500"
E01012757,"130,500"
E01012758,"280,000"
E01012759,"110,000"
E01012760,"105,000"
E01012761,"95,000"
E01012762,"191,500"
E01012763,"151,200"
E01012764,"180,000"
E01012765,"135,000"
E01012766,"158,750"
E01012767,"166,000"
E01012768,"131,000"
E01012769,"160,000"
E01012770,"257,000"
E01012771,"161,000"
E01012772,"130,000"
E01012773,"125,000"
E01012774,"141,400"
E01012775,"135,000"
E01012776,"125,000"
E01012777,"245,000"
E01012778,"86,000"
E01012779,"65,000"
E01012780,"98,500"
E01012781,"87,500"
E01012782,"91,500"
E01012783,"80,000"
E01012784,"167,000"
E01012785,"78,250"
E01012786,"106,500"
E01012787,"80,000"
E01012788,"88,250"
E01012789,"116,000"
E01012790,"110,000"
E01012791,"185,000"
E01012792,"168,750"
E01012793,"190,000"
E01012794,"165,000"
E01012795,"134,000"
E01012796,"150,225"
E01012797,"131,000"
E01012798,"115,000"
E01012799,"120,000"
E01012800,"130,500"
E01012801,"145,000"
E01012802,"126,500"
E01012803,"123,000"
E01012804,"133,000"
E01012805,"75,000"
E01012806,"82,875"
E01012807,"185,000"
E01012808,"82,000"
E01012809,"70,000"
E01012810,"146,000"
E01012811,"125,500"
E01012812,"237,500"
E01012813,"180,000"
E01012814,"178,000"
E01012815,"137,500"
E01012816,"140,000"
E01012817,"105,000"
E01012818,"164,750"
E01012819,"117,500"
E01012820,"147,500"
E01012821,"205,745"
E01012822,"162,000"
E01012823,"123,000"
E01012824,"177,500"
E01012825,"156,500"
E01012826,"98,250"
E01012827,"137,500"
E01012828,"132,500"
E01012829,"152,000"
E01012830,"125,000"
E01012832,"170,000"
E01012833,"116,500"
E01012834,"94,000"
E01012835,"165,000"
E01012836,"112,174"
E01012837,"110,000"
E01012838,"95,000"
E01012839,"176,000"
E01012840,"107,500"
E01012841,"112,500"
E01012842,"102,000"
E01012843,"165,995"
E01012844,"83,500"
E01012845,"82,500"
E01012846,"93,000"
E01012847,"116,000"
E01012848,"85,000"
E01012849,"113,000"
E01012850,"120,000"
E01012851,"75,500"
E01012852,"115,000"
E01012854,"105,000"
E01012855,"80,000"
E01012856,"115,000"
E01012857,"88,000"
E01012858,"126,000"
E01012859,"75,000"
E01012860,"154,000"
E01012862,"90,000"
E01012863,"144,000"
E01012864,"97,550"
E01012865,"130,250"
E01012866,"105,000"
E01012867,"73,500"
E01012868,"100,000"
E01012869,"88,250"
E01012870,"90,000"
E01012871,"102,525"
E01012872,"108,500"
E01012873,"115,000"
E01012874,"96,750"
E01012875,:
E01012876,"83,500"
E01012877,"74,750"
E01012878,"85,500"
E01012879,"95,000"
E01012880,"120,000"
E01012881,"125,000"
E01012882,"160,000"
E01012883,"149,500"
E01012884,"148,250"
E01012886,"145,000"
E01012887,"122,500"
E01012888,"67,250"
E01012889,"75,500"
E01012891,"60,000"
E01012892,"76,000"
E01012893,"72,000"
E01012894,"134,750"
E01012895,"195,000"
E01012896,"150,000"
E01012897,"185,000"
E01012898,:
E01012899,"110,000"
E01012900,"67,500"
E01012901,"129,500"
E01012902,"142,000"
E01012903,"79,999"
E01012904,"150,000"
E01012905,"140,000"
E01012906,"95,200"
E01012907,"168,000"
E01012908,"117,500"
E01012909,"155,000"
E01012910,"134,000"
E01012911,"217,000"
E01012912,"159,172"
E01012913,"165,000"
E01012914,:
E01012915,"113,000"
E01012916,"200,000"
E01012917,"132,000"
E01012918,"119,000"
E01032595,"140,000"
E01033104,"151,750"
E01033105,"197,500"
E01033106,"189,000"
E01033107,"195,000"
E01033108,"185,000"
E01033109,"99,950"
E01033110,"130,500"
E01012919,"338,000"
E01012920,"332,500"
E01012921,"255,000"
E01012922,"195,000"
E01012923,"218,500"
E01012924,"285,000"
E01012925,"256,000"
E01012926,"254,000"
E01012927,"242,500"
E01012928,"90,500"
E01012929,"158,500"
E01012930,"189,950"
E01012931,"139,950"
E01012932,"148,500"
E01012933,"183,500"
E01012934,"160,748"
E01012935,"250,000"
E01012936,"191,375"
E01012937,"238,250"
E01012938,"175,000"
E01012939,"242,500"
E01012940,"215,000"
E01012941,"185,000"
E01012942,"215,000"
E01012943,"122,000"
E01012944,"139,500"
E01012945,"143,500"
E01012946,"143,500"
E01012947,"190,000"
E01012948,"134,000"
E01012949,"152,000"
E01012950,"262,250"
E01012951,"170,000"
E01012952,"136,500"
E01012953,"174,995"
E01012954,"320,000"
E01012955,"240,000"
E01012956,"267,500"
E01012957,"155,000"
E01012958,"255,000"
E01012959,"191,000"
E01012960,"242,500"
E01012961,"237,500"
E01012962,"190,028"
E01012963,"191,500"
E01012964,"161,500"
E01012965,"308,300"
E01012966,"300,000"
E01012967,"275,000"
E01012968,"342,498"
E01012969,"235,000"
E01012970,"292,500"
E01012972,"265,000"
E01012973,"224,250"
E01012974,"186,000"
E01012975,"199,500"
E01012976,"165,000"
E01012977,"262,000"
E01012978,"225,000"
E01012979,"194,995"
E01012980,"122,500"
E01012981,"417,500"
E01012982,"118,000"
E01012983,"209,000"
E01012984,"337,500"
E01012985,"220,000"
E01012986,"184,750"
E01012987,"273,500"
E01012988,"280,500"
E01012989,"220,000"
E01012990,"257,500"
E01012991,"220,000"
E01012992,"250,000"
E01012993,"210,000"
E01012994,"165,000"
E01012995,"146,500"
E01012996,"210,000"
E01012997,"95,250"
E01012998,"188,750"
E01012999,"86,000"
E01013000,"100,000"
E01013001,"172,500"
E01013002,"116,500"
E01013003,"190,000"
E01013004,"132,000"
E01013005,"284,500"
E01013006,"167,250"
E01013007,"200,000"
E01013008,"151,000"
E01013009,"167,500"
E01013010,"180,000"
E01013011,"190,550"
E01013012,"305,000"
E01013013,"138,000"
E01013014,"157,000"
E01013015,"217,000"
E01013016,"417,500"
E01013017,"238,500"
E01013018,"180,000"
E01013019,"238,500"
E01013020,"300,000"
E01013021,"195,250"
E01013022,"390,000"
E01013023,"285,000"
E01013024,"229,500"
E01013025,"222,500"
E01013026,"190,000"
E01013027,"202,000"
E01013028,"166,500"
E01013029,"176,000"
E01013030,"190,000"
E01013031,"225,500"
E01013032,"178,000"
E01013033,"185,000"
E01013034,"222,750"
E01013035,"250,000"
E01013036,"194,875"
E01013037,"185,500"
E01013038,"186,000"
E01013039,"294,000"
E01013040,"240,000"
E01013041,"215,000"
E01013042,"340,000"
E01013043,"315,000"
E01013044,"259,100"
E01013045,"174,000"
E01013046,"235,000"
E01013047,"182,250"
E01013048,"192,000"
E01013049,"155,750"
E01013050,"230,000"
E01013051,"169,975"
E01013052,"292,975"
E01013053,"320,000"
E01013054,"235,578"
E01013055,"265,000"
E01013056,"193,500"
E01013057,"425,000"
E01013058,"331,250"
E01013059,"278,135"
E01013060,"300,000"
E01013061,"275,000"
E01013062,"200,000"
E01013063,"302,000"
E01013064,"352,475"
E01013065,"221,850"
E01013066,"250,000"
E01013067,"315,000"
E01013068,"307,250"
E01013069,"194,250"
E01013070,"285,000"
E01013071,"180,000"
E01013072,"158,000"
E01013073,"300,000"
E01013074,"201,250"
E01013075,"252,000"
E01013076,"205,000"
E01013077,"221,500"
E01013078,"360,000"
E01013079,"196,000"
E01013080,"120,000"
E01013081,"222,500"
E01013082,"155,000"
E01013083,"135,000"
E01013084,"124,000"
E01013085,"170,000"
E01013086,"172,000"
E01013087,"149,000"
E01013088,"392,950"
E01013089,"292,500"
E01013090,"300,000"
E01013091,"280,000"
E01013092,"247,000"
E01013093,"375,500"
E01013094,"265,000"
E01013095,"160,000"
E01013096,"184,750"
E01013097,"151,475"
E01013098,"215,000"
E01013099,"128,000"
E01013100,"202,500"
E01013101,"173,750"
E01013102,"170,000"
E01013103,"187,250"
E01013104,"205,000"
E01013105,"219,500"
E01013106,"155,500"
E01013107,"174,000"
E01013108,"364,995"
E01013110,"154,500"
E01013111,"268,000"
E01013112,"255,000"
E01013113,"240,000"
E01013114,"414,250"
E01013115,"205,500"
E01013116,"368,500"
E01013117,"350,000"
E01013118,"284,250"
E01013119,"457,500"
E01013120,"320,000"
E01013121,"267,750"
E01013122,"465,000"
E01013123,"205,569"
E01013124,"160,000"
E01013125,"200,000"
E01013126,"473,000"
E01013127,"505,000"
E01032596,"140,000"
E01033495,"207,000"
E01033496,"252,000"
E01013128,"122,500"
E01013129,"150,000"
E01013130,"149,975"
E01013131,"125,000"
E01013132,"190,000"
E01013133,"141,000"
E01013134,"164,000"
E01013135,"168,750"
E01013136,"68,500"
E01013137,"90,000"
E01013138,"59,000"
E01013139,"69,000"
E01013140,"69,500"
E01013141,"80,000"
E01013142,"73,250"
E01013143,"87,475"
E01013144,"59,000"
E01013145,"152,500"
E01013146,"145,000"
E01013147,"93,250"
E01013148,"171,250"
E01013149,"185,000"
E01013150,"164,000"
E01013151,"295,000"
E01013152,"282,500"
E01013153,"280,000"
E01013154,"197,500"
E01013155,"250,000"
E01013156,"172,000"
E01013157,"290,000"
E01013158,"125,000"
E01013159,"90,000"
E01013160,"148,000"
E01013161,"85,000"
E01013162,"90,000"
E01013163,"220,000"
E01013164,"131,500"
E01013165,"69,975"
E01013166,"225,000"
E01013167,"215,000"
E01013168,"215,000"
E01013169,"190,000"
E01013170,"185,000"
E01013171,"240,000"
E01013172,"219,500"
E01013173,"225,500"
E01013174,"83,475"
E01013175,"196,500"
E01013176,"153,000"
E01013177,"107,475"
E01013178,"135,250"
E01013179,"147,500"
E01013180,"159,975"
E01013181,"90,000"
E01013182,"242,500"
E01013183,"180,000"
E01013184,"185,000"
E01013185,"187,500"
E01013186,"195,000"
E01013187,"114,750"
E01013188,"145,000"
E01013189,"187,475"
E01013190,"186,250"
E01013191,"222,975"
E01013192,"155,000"
E01013193,"200,000"
E01013194,"169,950"
E01013195,"100,000"
E01013196,"90,000"
E01013197,"160,000"
E01013198,"131,500"
E01013199,"110,000"
E01013200,"158,500"
E01013201,"87,750"
E01013202,"96,000"
E01013203,"75,000"
E01013204,"165,750"
E01013205,"100,000"
E01013206,"115,000"
E01013207,"150,000"
E01013208,:
E01013209,"103,000"
E01013210,"103,475"
E01013211,"132,500"
E01013212,"100,100"
E01013213,"173,750"
E01013214,"210,000"
E01013215,"350,000"
E01013216,"190,000"
E01013217,"207,500"
E01013218,"60,000"
E01013219,"83,000"
E01013220,"70,500"
E01013221,"55,500"
E01013222,"81,000"
