URN,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Local authority,Parliamentary constituency,Multi-academy trust UID,Multi-academy trust name,Academy sponsor UID,Academy sponsor name,Postcode,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Statutory lowest age,Statutory highest age,Number of monitoring and urgent inspections since last graded inspection,Inspection number of latest graded inspection,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Publication date,Overall effectiveness,Category of concern,Quality of education,Behaviour and attitudes,Personal development,Effectiveness of leadership and management,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Name,Lat,Lon,Website,Attainment 8,Progress 8
137704,Otley Prince Henry's Grammar School Specialist Language College,Secondary,Academy Converter,01/12/2011,Non-selective,Has a sixth form,,Does not apply,Non-faith,Leeds,Leeds North West,17104.0,COLLABORATIVE LEARNING TRUST,17259.0,Prince Henry's Collaborative Learning Trust,LS21 2BB,1.0,1639.0,11,18,,ITS403712,S5 Inspection,S5 Inspection,Schools - S5,12/02/2013,12/03/2013,2.0,,9.0,9.0,9.0,1.0,9,9.0,9.0,Otley Prince Henry's Grammar School Specialist Language College,53.9125704,-1.6945897,https://www.princehenrys.co.uk/,53.4,0.34
138087,Belle Vue Girls' Academy,Secondary,Academy Converter,01/04/2012,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,Bradford,Bradford West,2408.0,Bradford Diocesan Academies Trust,2407.0,Bradford Diocesan Academies Trust,BD9 6NA,5.0,1033.0,11,18,1.0,ITS398287,S5 Inspection,S5 Inspection,Schools - S5,04/07/2012,07/09/2012,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,Belle Vue Girls' Academy,53.8198964,-1.8124838,https://www.bvgacademy.co.uk/,43.8,0.16
138111,BBG Academy,Secondary,Academy Sponsor Led,01/05/2012,Non-selective,Does not have a sixth form,Does not apply,,Non-faith,Kirklees,Spen Valley,4386.0,The Rodillian Multi Academy Trust,5020.0,The Rodillian Multi Academy Trust,BD19 4BE,2.0,1035.0,11,16,1.0,10009767,Schools into Special Measures Visit 4,Section 8 deemed section 5,Schools - S8 deemed S5,09/03/2016,07/04/2016,2.0,,9.0,9.0,9.0,2.0,Yes,9.0,9.0,BBG Academy,53.7448624,-1.6894071,http://www.bbgacademy.com/,52.1,0.48
138251,Dixons Trinity Academy,Secondary,Free School,01/09/2012,Non-selective,Does not have a sixth form,,,Non-faith,Bradford,Bradford West,2939.0,DIXONS ACADEMIES TRUST,2937.0,Dixons Academies Trust,BD5 0BE,5.0,667.0,11,16,1.0,ITS425695,S5 Inspection,S5 Inspection,Schools - S5,29/01/2014,31/03/2014,1.0,,9.0,9.0,9.0,1.0,9,9.0,9.0,Dixons Trinity Academy,53.7864138,-1.7612813,https://www.dixonsta.com/,54.7,0.72
138304,Crawshaw Academy,Secondary,Academy Sponsor Led,01/07/2012,Non-selective,Has a sixth form,Does not apply,,Non-faith,Leeds,Leeds West and Pudsey,15727.0,RED KITE LEARNING TRUST,16579.0,Red Kite Learning Trust,LS28 9HU,3.0,1120.0,11,18,,10088923,S5 Inspection,S5 Inspection,Schools - S5,03/07/2019,11/09/2019,2.0,,9.0,9.0,9.0,2.0,Yes,9.0,2.0,Crawshaw Academy,53.7932421,-1.656194,https://www.crawshawacademy.org.uk/,42.9,-0.59
139182,The Crossley Heath School,Secondary,Academy Converter,01/01/2013,Selective,Has a sixth form,,Does not apply,Non-faith,Calderdale,Halifax,,,,,HX3 0HG,3.0,1133.0,11,18,,10290225,S5 Inspection,S5 Inspection,Schools - S5,03/07/2023,25/09/2023,2.0,,2.0,1.0,2.0,2.0,Yes,9.0,2.0,The Crossley Heath School,53.7115285,-1.877927,https://www.crossleyheath.org.uk/,72.6,0.49
139351,"St. Mary's Menston, a Catholic Voluntary Academy",Secondary,Academy Converter,01/03/2013,Non-selective,Has a sixth form,Roman Catholic,Does not apply,Christian,Leeds,Leeds North West,2342.0,The Bishop Wheeler Catholic Academy Trust,5652.0,The Bishop Wheeler Catholic Academy Trust,LS29 6AE,1.0,1195.0,11,18,,ITS448649,S5 Inspection,S5 Inspection,Schools - S5,25/11/2014,17/12/2014,1.0,,9.0,9.0,9.0,1.0,9,9.0,2.0,"St. Mary's Menston, a Catholic Voluntary Academy",53.8838655,-1.7269556,https://www.stmarysmenston.org/,56.5,0.41
139975,Beckfoot School,Secondary,Academy Converter,01/08/2013,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,Bradford,Shipley,2270.0,Beckfoot Trust,2271.0,Beckfoot Trust,BD16 1EE,2.0,1631.0,11,18,,ITS442614,S5 Inspection,S5 Inspection,Schools - S5,04/06/2014,26/06/2014,1.0,,9.0,9.0,9.0,1.0,9,9.0,9.0,Beckfoot School,53.8406483,-1.8282424,https://www.beckfoot.org/,50.4,0.42
139977,Hazelbeck Special School,Special,Academy Special Converter,01/08/2013,Not applicable,Has a sixth form,Does not apply,,Non-faith,Bradford,Shipley,2270.0,Beckfoot Trust,2271.0,Beckfoot Trust,BD16 1EE,4.0,155.0,11,19,,ITS449933,S5 Inspection,S5 Inspection,Schools - S5,25/02/2015,20/03/2015,1.0,,9.0,9.0,9.0,1.0,9,9.0,1.0,Hazelbeck Special School,53.8414013,-1.8275401,https://www.hazelbeck.org/,,
139995,Oasis Academy Lister Park,Secondary,Academy Sponsor Led,01/09/2013,Non-selective,Has a sixth form,Does not apply,,Non-faith,Bradford,Bradford West,4076.0,OASIS COMMUNITY LEARNING,4075.0,Oasis Community Learning,BD8 7ND,5.0,842.0,11,18,,10059064,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,27/02/2019,20/03/2019,2.0,,9.0,9.0,9.0,2.0,Yes,9.0,2.0,Oasis Academy Lister Park,53.8154644,-1.7662401,https://www.oasisacademylisterpark.org/,32.6,-0.58
